name,address,url,lat,lng
サンシャイン水族館,東京都豊島区東池袋3サンシャインシティ・ワールドインポートマートビル屋上（10階）,http://www.sunshinecity.co.jp/,35.7288557,139.7200134
広島　マリホ水族館,広島県広島市西区観音新町4丁目14-35,http://mariho-aquarium.com/,34.3610433,132.415923
千歳 サケのふるさと館,北海道千歳市花園2-312 道の駅「サーモンパーク千歳」内,http://www.city.chitose.hokkaido.jp/tourist/salmon/,42.8340763,141.6589805
おたる水族館,北海道小樽市祝津3-303,http://otaru-aq.jp/,43.2369677,141.0118175
登別マリンパークニクス,北海道登別市登別東町１-22,http://www.nixe.co.jp/,42.4550475,141.1827442
標津サーモン科学館,北海道標津郡標津町北一条西6丁目1-1-1 標津サーモンパーク内,http://www.shibetsu-salmon.org/,43.659719,145.1158841
おんねゆ温泉・山の水族館　北の大地の水族館,北海道北見市留辺蘂町松山1番地4,http://onneyu-aq.com/,43.7535696,143.5006597
サンピアザ水族館,北海道札幌市厚別区厚別中央2条5-7-5,http://www3.ocn.ne.jp/~sunpi-aq/,43.0369263,141.471762
美深町チョウザメ館,北海道中川郡美深町字紋穂内,http://www.bifuka-t.jp/sise/tyouzame.html,44.5658733,142.3511644
氷海展望塔 オホーツクタワー,北海道紋別市海洋公園1,http://www.o-tower.co.jp/,44.336955,143.3810268
市立 室蘭水族館,北海道室蘭市祝津町3-3-12,http://www.kujiran.net/aquarium/,42.3399881,140.9503115
稚内市立 ノシャップ寒流水族館,北海道稚内市ノシャップ2-2-17,http://www.city.wakkanai.hokkaido.jp/sisetu/suizokukan/,45.4492716,141.6449214
札幌市豊平川さけ科学館,北海道札幌市南区真駒内公園2-1,http://www.sapporo-park.or.jp/sake/,43.0010546,141.3432514
旭川市 旭山動物園,北海道旭川市東旭川町倉沼,http://www5.city.asahikawa.hokkaido.jp/asahiyamazoo/,43.7591494,142.4871813
青森県営 浅虫水族館,青森県青森市大字浅虫字馬場山1-25,http://www.asamushi-aqua.com/,40.89723490000000,140.8628114
久慈地下水族科学館もぐらんぴあ,岩手県久慈市侍浜町字麦生1-43-7,,40.2212805,141.8158238
男鹿水族館 GAO,秋田県男鹿市戸賀塩浜,http://www.gao-aqua.jp/,39.9376333,139.7144465
マリンピア松島水族館,宮城県宮城郡松島町松島字浪打浜16,http://www.marinepia.co.jp/,38.3677702,141.0604316
